Invoice_ID,Date,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Sales,Cost,Profit,Region,Payment_Method,Year,Month,Month_Name,Month_Year,Quarter,Weekday,Week_Number,Profit_Margin_%,Revenue_Per_Unit,Is_Weekend,High_Value_Order
INV00012,2023-12-26,CUST1101,Product9110,Turmeric Capsules,Herbal & Ayurvedic,6,249.1,1494.6,914.98,579.62,East Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Tuesday,52,38.78,249.1,False,False
INV00013,2023-12-25,CUST1015,Product6977,Baby Powder,Baby & Mother Care,1,1115.99,1115.99,862.44,253.55,East Branch,Cash,2023,12,Dec,Dec-2023,Q4,Monday,52,22.72,1115.99,False,False
INV00014,2023-08-29,CUST1096,Product7019,Antacid Syrup,Otc Medicines,5,86.57,432.85,268.73,164.12,West Branch,Upi,2023,8,Aug,Aug-2023,Q3,Tuesday,35,37.92,86.57,False,False
INV00015,2023-01-29,CUST1071,Product4157,Baby Food 200G,Baby & Mother Care,7,954.1,6678.7,4755.45,1923.25,West Branch,Upi,2023,1,Jan,Jan-2023,Q1,Sunday,4,28.8,954.1,True,True
INV00016,2023-05-14,CUST1108,Product4627,Moisturizer Cream,Cosmetics & Skincare,2,656.09,1312.18,710.74,601.44,West Branch,Insurance,2023,5,May,May-2023,Q2,Sunday,19,45.84,656.09,True,False
INV00017,2023-12-14,CUST1129,Product2306,Aloe Vera Gel,Cosmetics & Skincare,6,454.51,2727.06,1358.46,1368.6,North Branch,Cash,2023,12,Dec,Dec-2023,Q4,Thursday,50,50.19,454.51,False,False
INV00018,2023-07-17,CUST1062,Product4748,Baby Diaper Pack,Baby & Mother Care,4,606.55,2426.2,1841.59,584.61,East Branch,Cash,2023,7,Jul,Jul-2023,Q3,Monday,29,24.1,606.55,False,False
INV00019,2023-06-09,CUST1113,Product2853,Atorvastatin 20Mg,Prescription Drugs,2,339.96,679.92,495.75,184.17,North Branch,Insurance,2023,6,Jun,Jun-2023,Q2,Friday,23,27.09,339.96,False,False
INV00020,2023-04-23,CUST1081,Product1698,Metformin 850Mg,Prescription Drugs,4,270.09,1080.36,830.36,250.0,Central Branch,Cash,2023,4,Apr,Apr-2023,Q2,Sunday,16,23.14,270.09,True,False
INV00021,2023-08-12,CUST1147,Product6249,Metformin 850Mg,Prescription Drugs,2,396.5,793.0,693.65,99.35,North Branch,Cash,2023,8,Aug,Aug-2023,Q3,Saturday,32,12.53,396.5,True,False
INV00022,2023-11-20,CUST1145,Product9958,Pulse Oximeter,Medical Devices,2,3454.08,6908.16,5537.5,1370.66,East Branch,Debit Card,2023,11,Nov,Nov-2023,Q4,Monday,47,19.84,3454.08,False,True
INV00023,2023-08-28,CUST1124,Product5282,Baby Food 200G,Baby & Mother Care,4,1477.12,5908.48,4373.66,1534.82,North Branch,Cash,2023,8,Aug,Aug-2023,Q3,Monday,35,25.98,1477.12,False,True
INV00024,2023-12-12,CUST1148,Product3911,Baby Food 200G,Baby & Mother Care,3,935.43,2806.29,1920.87,885.42,East Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Tuesday,50,31.55,935.43,False,False
INV00025,2023-12-04,CUST1042,Product1262,Neem Capsules,Herbal & Ayurvedic,1,439.29,439.29,303.57,135.72,North Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Monday,49,30.9,439.29,False,False
INV00026,2023-10-31,CUST1037,Product8158,Moisturizer Cream,Cosmetics & Skincare,1,437.48,437.48,277.71,159.77,West Branch,Upi,2023,10,Oct,Oct-2023,Q4,Tuesday,44,36.52,437.48,False,False
INV00027,2023-06-01,CUST1075,Product2648,Amoxicillin 500Mg,Prescription Drugs,3,619.28,1857.84,1383.23,474.61,North Branch,Insurance,2023,6,Jun,Jun-2023,Q2,Thursday,22,25.55,619.28,False,False
INV00028,2023-04-09,CUST1146,Product5973,Aloe Vera Gel,Cosmetics & Skincare,4,485.51,1942.04,1178.68,763.36,North Branch,Upi,2023,4,Apr,Apr-2023,Q2,Sunday,14,39.31,485.51,True,False
INV00029,2023-06-10,CUST1142,Product5911,Ibuprofen 400Mg,Otc Medicines,6,167.98,1007.88,605.85,402.03,West Branch,Cash,2023,6,Jun,Jun-2023,Q2,Saturday,23,39.89,167.98,True,False
INV00030,2023-01-22,CUST1008,Product4354,Hair Oil,Cosmetics & Skincare,3,543.21,1629.63,909.21,720.42,Central Branch,Debit Card,2023,1,Jan,Jan-2023,Q1,Sunday,3,44.21,543.21,True,False
INV00031,2023-11-13,CUST1035,Product8679,Omega-3 Capsules,Supplements & Vitamins,5,677.77,3388.85,2052.88,1335.97,East Branch,Insurance,2023,11,Nov,Nov-2023,Q4,Monday,46,39.42,677.77,False,True
INV00032,2023-01-06,CUST1037,Product3327,Amlodipine 5Mg,Prescription Drugs,4,441.86,1767.44,1476.29,291.15,East Branch,Insurance,2023,1,Jan,Jan-2023,Q1,Friday,1,16.47,441.86,False,False
INV00033,2023-04-26,CUST1067,Product9319,Digital Thermometer,Medical Devices,6,3393.3,20359.8,13382.01,6977.79,Central Branch,Upi,2023,4,Apr,Apr-2023,Q2,Wednesday,17,34.27,3393.3,False,True
INV00034,2023-12-26,CUST1127,Product1154,Paracetamol 500Mg,Otc Medicines,2,328.93,657.86,434.71,223.15,South Branch,Credit Card,2023,12,Dec,Dec-2023,Q4,Tuesday,52,33.92,328.93,False,False
INV00035,2023-10-26,CUST1026,Product6986,Ibuprofen 400Mg,Otc Medicines,2,264.45,528.9,349.39,179.51,Central Branch,Credit Card,2023,10,Oct,Oct-2023,Q4,Thursday,43,33.94,264.45,False,False
INV00036,2023-02-05,CUST1065,Product7655,Paracetamol 500Mg,Otc Medicines,5,46.93,234.65,187.48,47.17,Central Branch,Insurance,2023,2,Feb,Feb-2023,Q1,Sunday,5,20.1,46.93,True,False
INV00037,2023-12-20,CUST1063,Product2148,Teething Gel,Baby & Mother Care,4,1343.53,5374.12,4377.1,997.02,South Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Wednesday,51,18.55,1343.53,False,True
INV00038,2023-11-22,CUST1101,Product4124,Baby Lotion,Baby & Mother Care,2,162.09,324.18,263.41,60.77,East Branch,Insurance,2023,11,Nov,Nov-2023,Q4,Wednesday,47,18.75,162.09,False,False
INV00039,2023-12-31,CUST1055,Product8079,Hand Sanitizer,Cosmetics & Skincare,4,517.17,2068.68,1403.94,664.74,West Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Sunday,52,32.13,517.17,True,False
INV00040,2023-05-25,CUST1058,Product9932,Antiseptic Cream,Cosmetics & Skincare,2,437.23,874.46,541.52,332.94,East Branch,Insurance,2023,5,May,May-2023,Q2,Thursday,21,38.07,437.23,False,False
INV00041,2023-05-09,CUST1001,Product8805,Cough Syrup,Otc Medicines,6,295.87,1775.22,1173.07,602.15,South Branch,Credit Card,2023,5,May,May-2023,Q2,Tuesday,19,33.92,295.87,False,False
INV00042,2023-07-11,CUST1076,Product5249,Baby Diaper Pack,Baby & Mother Care,5,506.31,2531.55,1592.41,939.14,Central Branch,Upi,2023,7,Jul,Jul-2023,Q3,Tuesday,28,37.1,506.31,False,False
INV00043,2023-03-10,CUST1144,Product7617,Protein Powder,Supplements & Vitamins,6,165.11,990.66,714.25,276.41,North Branch,Insurance,2023,3,Mar,Mar-2023,Q1,Friday,10,27.9,165.11,False,False
INV00044,2023-01-23,CUST1069,Product3849,Knee Support,Medical Devices,4,854.25,3417.0,2607.96,809.04,South Branch,Credit Card,2023,1,Jan,Jan-2023,Q1,Monday,4,23.68,854.25,False,True
INV00045,2023-09-14,CUST1004,Product3839,Hair Oil,Cosmetics & Skincare,2,519.39,1038.78,596.48,442.3,Central Branch,Upi,2023,9,Sep,Sep-2023,Q3,Thursday,37,42.58,519.39,False,False
INV00046,2023-12-06,CUST1124,Product5000,Triphala Churna,Herbal & Ayurvedic,1,530.94,530.94,336.42,194.52,West Branch,Credit Card,2023,12,Dec,Dec-2023,Q4,Wednesday,49,36.64,530.94,False,False
INV00047,2023-06-17,CUST1044,Product5380,Glucometer,Medical Devices,3,3312.69,9938.07,7679.94,2258.13,South Branch,Debit Card,2023,6,Jun,Jun-2023,Q2,Saturday,24,22.72,3312.69,True,True
INV00048,2023-08-30,CUST1090,Product9967,Pulse Oximeter,Medical Devices,7,1507.23,10550.61,8885.8,1664.81,East Branch,Cash,2023,8,Aug,Aug-2023,Q3,Wednesday,35,15.78,1507.23,False,True
INV00049,2023-04-15,CUST1114,Product1412,Bp Monitor,Medical Devices,2,374.47,748.94,514.6,234.34,West Branch,Credit Card,2023,4,Apr,Apr-2023,Q2,Saturday,15,31.29,374.47,True,False
INV00050,2023-12-23,CUST1099,Product5079,Sunscreen Spf50,Cosmetics & Skincare,5,775.69,3878.45,2183.59,1694.86,North Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Saturday,51,43.7,775.69,True,True
INV00051,2023-07-09,CUST1113,Product4766,Moisturizer Cream,Cosmetics & Skincare,1,632.31,632.31,388.74,243.57,Central Branch,Insurance,2023,7,Jul,Jul-2023,Q3,Sunday,27,38.52,632.31,True,False
INV00052,2023-03-03,CUST1086,Product5492,Knee Support,Medical Devices,1,1062.36,1062.36,822.75,239.61,West Branch,Cash,2023,3,Mar,Mar-2023,Q1,Friday,9,22.55,1062.36,False,False
INV00053,2023-03-17,CUST1128,Product5946,Calcium + D3,Supplements & Vitamins,1,206.16,206.16,105.22,100.94,North Branch,Insurance,2023,3,Mar,Mar-2023,Q1,Friday,11,48.96,206.16,False,False
INV00054,2023-02-22,CUST1042,Product6305,Vitamin C 500Mg,Otc Medicines,5,50.26,251.3,170.76,80.54,North Branch,Upi,2023,2,Feb,Feb-2023,Q1,Wednesday,8,32.05,50.26,False,False
INV00055,2023-08-09,CUST1146,Product5846,Chyawanprash 500G,Herbal & Ayurvedic,7,109.05,763.35,466.01,297.34,East Branch,Debit Card,2023,8,Aug,Aug-2023,Q3,Wednesday,32,38.95,109.05,False,False
INV00056,2023-08-18,CUST1137,Product7938,Sunscreen Spf50,Cosmetics & Skincare,2,677.72,1355.44,655.06,700.38,Central Branch,Credit Card,2023,8,Aug,Aug-2023,Q3,Friday,33,51.67,677.72,False,False
INV00057,2023-05-16,CUST1086,Product9691,Ibuprofen 400Mg,Otc Medicines,5,189.4,947.0,713.43,233.57,Central Branch,Cash,2023,5,May,May-2023,Q2,Tuesday,20,24.66,189.4,False,False
INV00058,2023-03-11,CUST1108,Product6301,Ciprofloxacin 500Mg,Prescription Drugs,7,839.22,5874.54,4461.48,1413.06,West Branch,Debit Card,2023,3,Mar,Mar-2023,Q1,Saturday,10,24.05,839.22,True,True
INV00059,2023-06-22,CUST1126,Product7619,Giloy Juice,Herbal & Ayurvedic,2,551.3,1102.6,831.83,270.77,Central Branch,Credit Card,2023,6,Jun,Jun-2023,Q2,Thursday,25,24.56,551.3,False,False
INV00060,2023-12-14,CUST1113,Product8576,Knee Support,Medical Devices,1,2681.48,2681.48,1914.02,767.46,North Branch,Insurance,2023,12,Dec,Dec-2023,Q4,Thursday,50,28.62,2681.48,False,False
INV00061,2023-06-09,CUST1047,Product5175,Azithromycin 500Mg,Prescription Drugs,5,821.68,4108.4,3607.4,501.0,Central Branch,Upi,2023,6,Jun,Jun-2023,Q2,Friday,23,12.19,821.68,False,True
INV00062,2023-05-27,CUST1146,Product7190,Baby Food 200G,Baby & Mother Care,3,1388.38,4165.14,3204.67,960.47,West Branch,Cash,2023,5,May,May-2023,Q2,Saturday,21,23.06,1388.38,True,True
INV00063,2023-02-23,CUST1012,Product2353,Amoxicillin 500Mg,Prescription Drugs,6,306.76,1840.56,1326.43,514.13,East Branch,Cash,2023,2,Feb,Feb-2023,Q1,Thursday,8,27.93,306.76,False,False
INV00064,2023-06-13,CUST1060,Product1539,Breast Pump,Baby & Mother Care,4,583.21,2332.84,1833.76,499.08,South Branch,Credit Card,2023,6,Jun,Jun-2023,Q2,Tuesday,24,21.39,583.21,False,False
INV00065,2023-05-25,CUST1141,Product2581,Antiseptic Cream,Cosmetics & Skincare,1,244.96,244.96,143.72,101.24,North Branch,Cash,2023,5,May,May-2023,Q2,Thursday,21,41.33,244.96,False,False
INV00066,2023-10-30,CUST1010,Product3871,Protein Powder,Supplements & Vitamins,6,1147.29,6883.74,3913.89,2969.85,North Branch,Credit Card,2023,10,Oct,Oct-2023,Q4,Monday,44,43.14,1147.29,False,True
INV00067,2023-10-16,CUST1011,Product8449,Baby Lotion,Baby & Mother Care,3,182.4,547.2,445.82,101.38,North Branch,Credit Card,2023,10,Oct,Oct-2023,Q4,Monday,42,18.53,182.4,False,False
INV00068,2023-04-08,CUST1129,Product1404,Ashwagandha Tablets,Herbal & Ayurvedic,6,511.17,3067.02,1990.84,1076.18,North Branch,Debit Card,2023,4,Apr,Apr-2023,Q2,Saturday,14,35.09,511.17,True,False
INV00069,2023-12-24,CUST1023,Product8140,Chyawanprash 500G,Herbal & Ayurvedic,4,502.71,2010.84,1106.09,904.75,East Branch,Upi,2023,12,Dec,Dec-2023,Q4,Sunday,51,44.99,502.71,True,False
INV00070,2023-03-19,CUST1051,Product5780,Nebulizer,Medical Devices,2,3018.87,6037.74,4833.39,1204.35,North Branch,Cash,2023,3,Mar,Mar-2023,Q1,Sunday,11,19.95,3018.87,True,True
INV00071,2023-02-03,CUST1118,Product1770,Pulse Oximeter,Medical Devices,6,3110.31,18661.86,13037.18,5624.68,West Branch,Credit Card,2023,2,Feb,Feb-2023,Q1,Friday,5,30.14,3110.31,False,True
INV00072,2023-08-10,CUST1145,Product5719,Omega-3 Capsules,Supplements & Vitamins,4,1007.21,4028.84,2046.68,1982.16,East Branch,Cash,2023,8,Aug,Aug-2023,Q3,Thursday,32,49.2,1007.21,False,True
INV00073,2023-03-07,CUST1103,Product7881,Turmeric Capsules,Herbal & Ayurvedic,7,472.67,3308.69,2108.72,1199.97,East Branch,Debit Card,2023,3,Mar,Mar-2023,Q1,Tuesday,10,36.27,472.67,False,True
INV00074,2023-11-04,CUST1079,Product6115,Baby Lotion,Baby & Mother Care,2,998.57,1997.14,1416.05,581.09,North Branch,Cash,2023,11,Nov,Nov-2023,Q4,Saturday,44,29.1,998.57,True,False
INV00075,2023-05-18,CUST1017,Product4579,Maternity Pads,Baby & Mother Care,2,1310.06,2620.12,1650.93,969.19,North Branch,Credit Card,2023,5,May,May-2023,Q2,Thursday,20,36.99,1310.06,False,False
INV00076,2023-05-06,CUST1115,Product7254,Antiseptic Cream,Cosmetics & Skincare,2,515.6,1031.2,632.28,398.92,East Branch,Debit Card,2023,5,May,May-2023,Q2,Saturday,18,38.69,515.6,True,False
INV00077,2023-01-08,CUST1025,Product2887,Ciprofloxacin 500Mg,Prescription Drugs,7,530.27,3711.89,3028.72,683.17,West Branch,Insurance,2023,1,Jan,Jan-2023,Q1,Sunday,1,18.4,530.27,True,True
INV00078,2023-02-20,CUST1005,Product6585,Calcium + D3,Supplements & Vitamins,5,1171.77,5858.85,3512.48,2346.37,East Branch,Upi,2023,2,Feb,Feb-2023,Q1,Monday,8,40.05,1171.77,False,True
INV00079,2023-05-13,CUST1090,Product3593,Moisturizer Cream,Cosmetics & Skincare,5,73.85,369.25,207.82,161.43,North Branch,Insurance,2023,5,May,May-2023,Q2,Saturday,19,43.72,73.85,True,False
INV00080,2023-09-06,CUST1063,Product5143,Azithromycin 500Mg,Prescription Drugs,2,611.6,1223.2,1068.72,154.48,North Branch,Debit Card,2023,9,Sep,Sep-2023,Q3,Wednesday,36,12.63,611.6,False,False
INV00081,2023-12-21,CUST1047,Product1638,Digital Thermometer,Medical Devices,2,3078.56,6157.12,5129.48,1027.64,Central Branch,Insurance,2023,12,Dec,Dec-2023,Q4,Thursday,51,16.69,3078.56,False,True
INV00082,2023-12-31,CUST1056,Product6126,Teething Gel,Baby & Mother Care,2,1168.74,2337.48,1668.37,669.11,South Branch,Debit Card,2023,12,Dec,Dec-2023,Q4,Sunday,52,28.63,1168.74,True,False
INV00083,2023-10-01,CUST1115,Product4086,Zinc Tablets,Supplements & Vitamins,7,687.26,4810.82,2968.14,1842.68,South Branch,Debit Card,2023,10,Oct,Oct-2023,Q4,Sunday,39,38.3,687.26,True,True
INV00084,2023-09-30,CUST1025,Product7288,Ciprofloxacin 500Mg,Prescription Drugs,5,220.36,1101.8,870.16,231.64,South Branch,Insurance,2023,9,Sep,Sep-2023,Q3,Saturday,39,21.02,220.36,True,False
INV00085,2023-04-19,CUST1111,Product8943,Pulse Oximeter,Medical Devices,1,2473.13,2473.13,1711.82,761.31,South Branch,Insurance,2023,4,Apr,Apr-2023,Q2,Wednesday,16,30.78,2473.13,False,False
INV00086,2023-06-29,CUST1059,Product1876,Amlodipine 5Mg,Prescription Drugs,3,371.65,1114.95,920.96,193.99,South Branch,Credit Card,2023,6,Jun,Jun-2023,Q2,Thursday,26,17.4,371.65,False,False
INV00087,2023-07-17,CUST1062,Product4735,Baby Food 200G,Baby & Mother Care,1,447.37,447.37,357.74,89.63,West Branch,Debit Card,2023,7,Jul,Jul-2023,Q3,Monday,29,20.03,447.37,False,False
INV00088,2023-08-17,CUST1075,Product9195,Ashwagandha Tablets,Herbal & Ayurvedic,7,106.85,747.95,580.26,167.69,West Branch,Credit Card,2023,8,Aug,Aug-2023,Q3,Thursday,33,22.42,106.85,False,False
INV00089,2023-03-03,CUST1079,Product7316,Chyawanprash 500G,Herbal & Ayurvedic,6,214.11,1284.66,951.54,333.12,North Branch,Credit Card,2023,3,Mar,Mar-2023,Q1,Friday,9,25.93,214.11,False,False
INV00090,2023-07-31,CUST1113,Product7283,Antiseptic Cream,Cosmetics & Skincare,6,776.0,4656.0,2431.65,2224.35,North Branch,Insurance,2023,7,Jul,Jul-2023,Q3,Monday,31,47.77,776.0,False,True
INV00091,2023-05-19,CUST1003,Product4744,Ashwagandha Tablets,Herbal & Ayurvedic,2,479.25,958.5,728.39,230.11,West Branch,Upi,2023,5,May,May-2023,Q2,Friday,20,24.01,479.25,False,False
INV00092,2023-01-13,CUST1065,Product2342,Baby Lotion,Baby & Mother Care,2,877.07,1754.14,1245.82,508.32,South Branch,Insurance,2023,1,Jan,Jan-2023,Q1,Friday,2,28.98,877.07,False,False
INV00093,2023-02-07,CUST1069,Product1235,Digital Thermometer,Medical Devices,1,673.43,673.43,508.69,164.74,East Branch,Cash,2023,2,Feb,Feb-2023,Q1,Tuesday,6,24.46,673.43,False,False
INV00094,2023-03-17,CUST1001,Product6415,Ors Sachets,Otc Medicines,5,261.19,1305.95,799.67,506.28,East Branch,Debit Card,2023,3,Mar,Mar-2023,Q1,Friday,11,38.77,261.19,False,False
INV00095,2023-09-27,CUST1005,Product3898,Breast Pump,Baby & Mother Care,5,312.89,1564.45,1034.02,530.43,West Branch,Debit Card,2023,9,Sep,Sep-2023,Q3,Wednesday,39,33.91,312.89,False,False
INV00096,2023-02-11,CUST1040,Product7943,B-Complex,Supplements & Vitamins,2,1103.26,2206.52,1480.47,726.05,North Branch,Credit Card,2023,2,Feb,Feb-2023,Q1,Saturday,6,32.9,1103.26,True,False
INV00097,2023-06-02,CUST1053,Product4687,Protein Powder,Supplements & Vitamins,6,716.77,4300.62,2753.75,1546.87,North Branch,Cash,2023,6,Jun,Jun-2023,Q2,Friday,22,35.97,716.77,False,True
INV00098,2023-06-28,CUST1015,Product6742,Zinc Tablets,Supplements & Vitamins,3,603.1,1809.3,1206.43,602.87,South Branch,Insurance,2023,6,Jun,Jun-2023,Q2,Wednesday,26,33.32,603.1,False,False
INV00099,2023-06-06,CUST1033,Product6373,Digital Thermometer,Medical Devices,4,2672.67,10690.68,7861.6,2829.08,North Branch,Cash,2023,6,Jun,Jun-2023,Q2,Tuesday,23,26.46,2672.67,False,True
INV00100,2023-12-19,CUST1109,Product7359,Aloe Vera Gel,Cosmetics & Skincare,2,621.84,1243.68,597.97,645.71,Central Branch,Insurance,2023,12,Dec,Dec-2023,Q4,Tuesday,51,51.92,621.84,False,False
INV00101,2023-11-20,CUST1130,Product1094,Hair Oil,Cosmetics & Skincare,5,454.9,2274.5,1315.59,958.91,West Branch,Upi,2023,11,Nov,Nov-2023,Q4,Monday,47,42.16,454.9,False,False
INV00102,2023-03-10,CUST1074,Product7166,Calcium + D3,Supplements & Vitamins,4,719.86,2879.44,1978.32,901.12,West Branch,Debit Card,2023,3,Mar,Mar-2023,Q1,Friday,10,31.29,719.86,False,False
INV00103,2023-04-14,CUST1111,Product1827,Triphala Churna,Herbal & Ayurvedic,6,399.77,2398.62,1367.87,1030.75,South Branch,Cash,2023,4,Apr,Apr-2023,Q2,Friday,15,42.97,399.77,False,False
INV00104,2023-10-20,CUST1092,Product7024,Iron Supplement,Supplements & Vitamins,4,743.39,2973.56,1712.29,1261.27,South Branch,Cash,2023,10,Oct,Oct-2023,Q4,Friday,42,42.42,743.39,False,False
INV00105,2023-09-24,CUST1149,Product4417,Baby Powder,Baby & Mother Care,5,263.86,1319.3,860.07,459.23,North Branch,Upi,2023,9,Sep,Sep-2023,Q3,Sunday,38,34.81,263.86,True,False
INV00106,2023-02-24,CUST1053,Product9393,Breast Pump,Baby & Mother Care,6,1275.74,7654.44,5768.16,1886.28,East Branch,Upi,2023,2,Feb,Feb-2023,Q1,Friday,8,24.64,1275.74,False,True
INV00107,2023-09-01,CUST1075,Product8973,Sunscreen Spf50,Cosmetics & Skincare,5,502.79,2513.95,1687.95,826.0,North Branch,Credit Card,2023,9,Sep,Sep-2023,Q3,Friday,35,32.86,502.79,False,False
INV00108,2023-05-08,CUST1108,Product2205,Vitamin C 500Mg,Otc Medicines,2,178.68,357.36,220.24,137.12,East Branch,Debit Card,2023,5,May,May-2023,Q2,Monday,19,38.37,178.68,False,False
INV00109,2023-06-26,CUST1150,Product3713,Ciprofloxacin 500Mg,Prescription Drugs,4,402.57,1610.28,1181.34,428.94,Central Branch,Debit Card,2023,6,Jun,Jun-2023,Q2,Monday,26,26.64,402.57,False,False
INV00110,2023-12-27,CUST1118,Product9533,Moisturizer Cream,Cosmetics & Skincare,5,436.38,2181.9,995.2,1186.7,North Branch,Insurance,2023,12,Dec,Dec-2023,Q4,Wednesday,52,54.39,436.38,False,False
INV00111,2023-08-12,CUST1123,Product1951,Hair Oil,Cosmetics & Skincare,5,188.35,941.75,588.69,353.06,Central Branch,Debit Card,2023,8,Aug,Aug-2023,Q3,Saturday,32,37.49,188.35,True,False
INV00112,2023-10-13,CUST1001,Product6490,B-Complex,Supplements & Vitamins,6,350.22,2101.32,1556.79,544.53,East Branch,Credit Card,2023,10,Oct,Oct-2023,Q4,Friday,41,25.91,350.22,False,False
INV00113,2023-08-10,CUST1129,Product4335,Triphala Churna,Herbal & Ayurvedic,2,357.92,715.84,479.15,236.69,East Branch,Insurance,2023,8,Aug,Aug-2023,Q3,Thursday,32,33.06,357.92,False,False
INV00114,2023-06-11,CUST1087,Product1054,Knee Support,Medical Devices,7,2710.39,18972.73,15093.56,3879.17,West Branch,Cash,2023,6,Jun,Jun-2023,Q2,Sunday,23,20.45,2710.39,True,True
INV00115,2023-09-04,CUST1072,Product8221,Moisturizer Cream,Cosmetics & Skincare,7,544.19,3809.33,2640.73,1168.6,East Branch,Debit Card,2023,9,Sep,Sep-2023,Q3,Monday,36,30.68,544.19,False,True
INV00116,2023-09-21,CUST1096,Product6207,Ciprofloxacin 500Mg,Prescription Drugs,5,217.48,1087.4,843.34,244.06,South Branch,Debit Card,2023,9,Sep,Sep-2023,Q3,Thursday,38,22.44,217.48,False,False
INV00117,2023-07-01,CUST1007,Product5425,Teething Gel,Baby & Mother Care,3,1448.46,4345.38,2742.45,1602.93,Central Branch,Credit Card,2023,7,Jul,Jul-2023,Q3,Saturday,26,36.89,1448.46,True,True
INV00118,2023-02-05,CUST1082,Product9705,Ashwagandha Tablets,Herbal & Ayurvedic,7,521.03,3647.21,2741.83,905.38,Central Branch,Insurance,2023,2,Feb,Feb-2023,Q1,Sunday,5,24.82,521.03,True,True
INV00119,2023-07-14,CUST1005,Product1804,Ciprofloxacin 500Mg,Prescription Drugs,5,343.2,1716.0,1438.85,277.15,West Branch,Insurance,2023,7,Jul,Jul-2023,Q3,Friday,28,16.15,343.2,False,False
INV00120,2023-12-08,CUST1120,Product3106,Teething Gel,Baby & Mother Care,1,721.85,721.85,549.4,172.45,West Branch,Cash,2023,12,Dec,Dec-2023,Q4,Friday,49,23.89,721.85,False,False
INV00121,2023-01-09,CUST1025,Product8368,Maternity Pads,Baby & Mother Care,1,788.99,788.99,566.11,222.88,South Branch,Upi,2023,1,Jan,Jan-2023,Q1,Monday,2,28.25,788.99,False,False
INV00122,2023-01-29,CUST1037,Product1074,Teething Gel,Baby & Mother Care,3,701.95,2105.85,1671.09,434.76,Central Branch,Credit Card,2023,1,Jan,Jan-2023,Q1,Sunday,4,20.65,701.95,True,False
INV00123,2023-02-03,CUST1122,Product2622,Baby Lotion,Baby & Mother Care,5,1244.78,6223.9,4483.58,1740.32,North Branch,Upi,2023,2,Feb,Feb-2023,Q1,Friday,5,27.96,1244.78,False,True
